,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_094,316,1100.218,1120.179,1131.615,1134.439,1128.629,1114.230,1091.350,1060.165,1020.911,973.888,919.452,858.019,790.056,716.080,636.655,552.384,463.909,371.903,277.067
Fz_095,317,1163.343,1120.806,1069.739,1010.530,943.630,869.549,788.850,702.148,610.101,513.412,412.815,309.076,202.985,95.350,-13.012,-121.274,-228.614,-334.213,-437.269
Fz_096,318,1146.641,1120.842,1086.514,1043.916,993.374,935.271,870.051,798.209,720.292,636.893,548.647,456.225,360.332,261.695,161.068,59.214,-43.090,-145.066,-245.938
Fz_097,319,527.384,524.939,518.500,508.114,493.861,475.850,454.217,429.127,400.771,369.366,335.149,298.381,259.343,218.331,175.657,131.646,86.634,40.962,-5.022
Fz_098,320,927.721,955.772,976.549,989.893,995.704,993.936,984.605,967.780,943.589,912.217,873.903,828.938,777.664,720.472,657.796,590.114,517.941,441.826,362.349
Fz_099,321,972.451,977.019,974.152,963.871,946.254,921.436,889.605,851.004,805.926,754.714,697.759,635.493,568.391,496.962,421.752,343.332,262.299,179.270,94.876
Fz_100,322,1085.667,1081.046,1068.197,1047.218,1018.269,981.571,937.402,886.099,828.052,763.704,693.543,618.104,537.960,453.723,366.032,275.556,182.982,89.016,-5.627
Fz_101,323,1204.034,1186.843,1160.620,1125.563,1081.941,1030.084,970.388,903.306,829.350,749.082,663.112,572.097,476.727,377.729,275.856,171.884,66.604,-39.184,-144.673
Fz_102,324,1292.486,1267.321,1232.511,1188.321,1135.086,1073.214,1003.173,925.498,840.779,749.661,652.838,551.046,445.061,335.688,223.760,110.130,-4.338,-118.774,-232.306
Fz_103,325,981.238,945.478,902.521,852.696,796.382,734.006,666.044,593.014,515.470,434.002,349.232,261.805,172.384,81.652,-9.702,-100.982,-191.493,-280.547,-367.466
Fz_104,326,1823.779,1872.142,1906.257,1925.864,1930.814,1921.070,1896.705,1857.905,1804.965,1738.289,1658.383,1565.855,1461.411,1345.844,1220.035,1084.940,941.589,791.071,634.533
Fz_105,327,994.786,1039.227,1075.759,1104.104,1124.046,1135.433,1138.179,1132.263,1117.729,1094.689,1063.318,1023.854,976.598,921.909,860.205,791.953,717.675,637.934,553.338
Fz_106,328,1274.489,1282.878,1281.504,1270.377,1249.581,1219.275,1179.690,1131.127,1073.955,1008.610,935.588,855.446,768.794,676.291,578.640,476.586,370.905,262.401,151.900
Fz_107,329,1218.513,1200.197,1172.747,1136.372,1091.348,1038.018,976.789,908.125,832.550,750.639,663.015,570.345,473.334,372.721,269.272,163.773,57.028,-50.152,-156.949
Fz_108,330,1117.538,1091.296,1056.748,1014.158,963.849,906.205,841.665,770.718,693.906,611.813,525.064,434.319,340.268,243.627,145.133,45.534,-54.412,-153.944,-252.304
Fz_109,331,1065.235,1040.866,1008.576,968.610,921.272,866.922,805.975,738.894,666.190,588.415,506.162,420.057,330.755,238.936,145.299,50.555,-44.573,-139.362,-233.090
Fz_110,332,1236.816,1253.474,1260.592,1258.117,1246.067,1224.533,1193.680,1153.742,1105.024,1047.895,982.792,910.209,830.698,744.866,653.365,556.891,456.179,351.995,245.132
Fz_111,333,1289.320,1297.533,1295.870,1284.346,1263.046,1232.134,1191.845,1142.485,1084.430,1018.122,944.066,862.824,775.016,681.310,582.418,479.094,372.124,262.321,150.522
Fz_112,334,1043.121,1066.422,1081.606,1088.559,1087.227,1077.621,1059.814,1033.940,1000.198,958.844,910.192,854.613,792.530,724.415,650.788,572.207,489.271,402.612,312.889
Fz_113,335,1437.489,1388.953,1329.846,1260.619,1181.797,1093.981,997.840,894.104,783.563,667.059,545.479,419.746,290.820,159.680,27.325,-105.238,-237.001,-366.959,-494.125
Fz_114,336,948.990,880.600,805.509,724.287,637.553,545.967,450.226,351.058,249.218,145.482,40.639,-64.514,-169.176,-272.550,-373.850,-472.305,-567.165,-657.709,-743.247
